ablation,base,n,mean_diff,ci_lo,ci_hi,wilcoxon_p,cliffs_delta,tost_p_pm02,equivalent_within_002,wilcoxon_p_holm,sig_holm
ablation_p3_no_quality_eval,base_p3,87,0.0021720114942528723,-0.013697916666666674,0.017725579022988498,0.9983115069957322,0.001321178491214163,0.01383185623695589,True,1.0,False
ablation_p3_no_topic_mining,base_p3,86,0.007668488372093021,-0.011325577034883723,0.02607643459302325,0.5309227044248563,0.035830178474851274,0.09767575557197564,False,1.0,False
ablation_p4_fixed_perspectives,base_p4,90,-0.029901388888888884,-0.04355537499999999,-0.015998715277777773,3.0890323592333726e-05,-0.21790123456790123,0.9234138527454112,False,0.0001235612943693349,True
ablation_p4_no_conversations,base_p4,90,-0.03604849999999999,-0.05315941388888888,-0.01864544444444444,4.2105928630661304e-06,-0.23074074074074075,0.9689653365110992,False,2.5263557178396783e-05,True
ablation_p4_no_triangulation,base_p4,90,-0.059904444444444455,-0.07983371527777777,-0.04136163194444444,9.606787877374104e-10,-0.38481481481481483,0.9999641825812474,False,6.724751514161873e-09,True
ablation_p5_fixed_width,base_p5,82,-0.023316158536585366,-0.04383161585365855,-0.003087804878048786,0.023075758900931338,-0.14425936942296252,0.6233140085720961,False,0.06922727670279402,False
ablation_p5_no_meta_eval,base_p5,86,-0.04682965116279069,-0.06431460029069767,-0.02875627906976743,5.9914522267838065e-06,-0.2556787452677123,0.9974582447278902,False,2.995726113391903e-05,True
